ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,consumer,_,UNK,_,NN,1,_,_,_,_,_,_,_,O
2,resistance,_,resistance,_,NN,1,_,_,_,_,_,_,_,O
3,to,_,to,_,TO,1,_,_,_,_,_,to.prep,Goal,O
4,unk,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
5,behavioral,_,UNK,_,JJ,1,_,_,_,_,_,_,_,O
6,reasoning,_,reason,_,VBG,1,_,_,_,_,_,_,_,O
7,perspective,_,perspective,_,NN,1,_,_,_,_,_,_,_,O
8,.,_,.,_,.,1,_,_,_,_,_,_,_,O
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,B-Age
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,I-Age
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,I-Age
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,I-Age
5,of,_,of,_,IN,0,_,_,_,_,_,of.prep,Age,S-Degree
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,B-Age
7,science,_,science,_,NN,0,_,_,_,_,_,_,_,I-Age
8,.,_,.,_,.,0,_,_,_,_,_,_,_,I-Age
1,journal,_,Journal,_,NNP,0,_,_,_,_,_,_,_,O
2,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
3,the,_,the,_,DT,0,_,_,_,_,_,_,_,O
4,academy,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
5,of,_,of,_,IN,0,_,_,_,_,_,_,_,O
6,marketing,_,market,_,VBG,0,_,_,_,_,_,_,_,O
7,science,_,science,_,NN,0,_,_,_,_,_,science.n,Craft,S-Practitioner
8,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Descriptor
