ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
2,society,_,society,_,NN,0,_,_,_,_,_,society.n,Organization,O
3,reviews,_,review,_,NNS,0,_,_,_,_,_,_,_,S-Organization
4,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,chemical,_,Chemical,_,NNP,0,_,_,_,_,_,_,_,S-Descriptor
2,society,_,society,_,NN,0,_,_,_,_,_,society.n,Organization,O
3,reviews,_,review,_,NNS,0,_,_,_,_,_,_,_,S-Organization
4,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,chemical,_,Chemical,_,NNP,0,_,_,_,_,_,_,_,S-Descriptor
2,society,_,society,_,NN,0,_,_,_,_,_,society.n,Organization,O
3,reviews,_,review,_,NNS,0,_,_,_,_,_,_,_,S-Organization
4,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,chemical,_,Chemical,_,NNP,0,_,_,_,_,_,_,_,S-Descriptor
2,society,_,society,_,NN,0,_,_,_,_,_,society.n,Organization,O
3,reviews,_,review,_,NNS,0,_,_,_,_,_,_,_,S-Organization
4,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,chemical,_,Chemical,_,NNP,0,_,_,_,_,_,_,_,S-Descriptor
2,society,_,society,_,NN,0,_,_,_,_,_,society.n,Organization,O
3,reviews,_,review,_,NNS,0,_,_,_,_,_,_,_,S-Organization
4,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,chemical,_,Chemical,_,NNP,0,_,_,_,_,_,_,_,S-Descriptor
2,society,_,society,_,NN,0,_,_,_,_,_,society.n,Organization,O
3,reviews,_,review,_,NNS,0,_,_,_,_,_,_,_,S-Organization
4,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,chemical,_,Chemical,_,NNP,0,_,_,_,_,_,_,_,S-Descriptor
2,society,_,society,_,NN,0,_,_,_,_,_,society.n,Organization,O
3,reviews,_,review,_,NNS,0,_,_,_,_,_,_,_,S-Organization
4,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,chemical,_,Chemical,_,NNP,0,_,_,_,_,_,_,_,S-Descriptor
2,society,_,society,_,NN,0,_,_,_,_,_,society.n,Organization,O
3,reviews,_,review,_,NNS,0,_,_,_,_,_,_,_,S-Organization
4,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,chemical,_,Chemical,_,NNP,0,_,_,_,_,_,_,_,S-Descriptor
2,society,_,society,_,NN,0,_,_,_,_,_,society.n,Organization,O
3,reviews,_,review,_,NNS,0,_,_,_,_,_,_,_,S-Organization
4,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,chemical,_,Chemical,_,NNP,0,_,_,_,_,_,_,_,S-Descriptor
2,society,_,society,_,NN,0,_,_,_,_,_,society.n,Organization,O
3,reviews,_,review,_,NNS,0,_,_,_,_,_,_,_,S-Organization
4,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,chemical,_,Chemical,_,NNP,0,_,_,_,_,_,_,_,S-Descriptor
2,society,_,society,_,NN,0,_,_,_,_,_,society.n,Organization,O
3,reviews,_,review,_,NNS,0,_,_,_,_,_,_,_,S-Organization
4,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,chemical,_,Chemical,_,NNP,0,_,_,_,_,_,_,_,S-Descriptor
2,society,_,society,_,NN,0,_,_,_,_,_,society.n,Organization,O
3,reviews,_,review,_,NNS,0,_,_,_,_,_,_,_,S-Organization
4,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,chemical,_,Chemical,_,NNP,0,_,_,_,_,_,_,_,S-Descriptor
2,society,_,society,_,NN,0,_,_,_,_,_,society.n,Organization,O
3,reviews,_,review,_,NNS,0,_,_,_,_,_,_,_,S-Organization
4,.,_,.,_,.,0,_,_,_,_,_,_,_,O
