ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
5,imaging,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,transactions,_,transaction,_,NNS,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,on.prep,Being_in_operation,O
4,medical,_,medical,_,JJ,0,_,_,_,_,_,_,_,O
5,imaging,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,transactions,_,transaction,_,NNS,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,on.prep,Being_in_operation,O
4,medical,_,medical,_,JJ,0,_,_,_,_,_,_,_,O
5,imaging,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,transactions,_,transaction,_,NNS,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,on.prep,Being_in_operation,O
4,medical,_,medical,_,JJ,0,_,_,_,_,_,_,_,O
5,imaging,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,transactions,_,transaction,_,NNS,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,on.prep,Being_in_operation,O
4,medical,_,medical,_,JJ,0,_,_,_,_,_,_,_,O
5,imaging,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,transactions,_,transaction,_,NNS,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,on.prep,Being_in_operation,O
4,medical,_,medical,_,JJ,0,_,_,_,_,_,_,_,O
5,imaging,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,transactions,_,transaction,_,NNS,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,on.prep,Being_in_operation,O
4,medical,_,medical,_,JJ,0,_,_,_,_,_,_,_,O
5,imaging,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,transactions,_,transaction,_,NNS,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,on.prep,Being_in_operation,O
4,medical,_,medical,_,JJ,0,_,_,_,_,_,_,_,O
5,imaging,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,transactions,_,transaction,_,NNS,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,on.prep,Being_in_operation,O
4,medical,_,medical,_,JJ,0,_,_,_,_,_,_,_,O
5,imaging,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,transactions,_,transaction,_,NNS,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,on.prep,Being_in_operation,O
4,medical,_,medical,_,JJ,0,_,_,_,_,_,_,_,O
5,imaging,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
1,ieee,_,UNK,_,NNP,0,_,_,_,_,_,_,_,O
2,transactions,_,transaction,_,NNS,0,_,_,_,_,_,_,_,O
3,on,_,on,_,IN,0,_,_,_,_,_,on.prep,Being_in_operation,O
4,medical,_,medical,_,JJ,0,_,_,_,_,_,_,_,O
5,imaging,_,UNK,_,NN,0,_,_,_,_,_,_,_,O
6,.,_,.,_,.,0,_,_,_,_,_,_,_,O
