ID,FORM,LEMMA,PLEMMA,POS,PPOS,FEAT,PFEAT,HEAD,PHEAD,DEPREL,PDEPREL,FILLPRED,PRED,APRED
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,medical,_,Medical,_,JJ,0,_,_,_,_,_,_,_,B-Purpose
2,image,_,image,_,NN,0,_,_,_,_,_,_,_,I-Purpose
3,analysis,_,analysis,_,NN,0,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,medical,_,Medical,_,JJ,0,_,_,_,_,_,_,_,B-Purpose
2,image,_,image,_,NN,0,_,_,_,_,_,_,_,I-Purpose
3,analysis,_,analysis,_,NN,0,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,medical,_,Medical,_,JJ,0,_,_,_,_,_,_,_,B-Purpose
2,image,_,image,_,NN,0,_,_,_,_,_,_,_,I-Purpose
3,analysis,_,analysis,_,NN,0,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,medical,_,Medical,_,JJ,0,_,_,_,_,_,_,_,B-Purpose
2,image,_,image,_,NN,0,_,_,_,_,_,_,_,I-Purpose
3,analysis,_,analysis,_,NN,0,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,medical,_,Medical,_,JJ,0,_,_,_,_,_,_,_,B-Purpose
2,image,_,image,_,NN,0,_,_,_,_,_,_,_,I-Purpose
3,analysis,_,analysis,_,NN,0,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,medical,_,Medical,_,JJ,0,_,_,_,_,_,_,_,B-Purpose
2,image,_,image,_,NN,0,_,_,_,_,_,_,_,I-Purpose
3,analysis,_,analysis,_,NN,0,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,medical,_,Medical,_,JJ,0,_,_,_,_,_,_,_,B-Purpose
2,image,_,image,_,NN,0,_,_,_,_,_,_,_,I-Purpose
3,analysis,_,analysis,_,NN,0,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,medical,_,Medical,_,JJ,0,_,_,_,_,_,_,_,B-Purpose
2,image,_,image,_,NN,0,_,_,_,_,_,_,_,I-Purpose
3,analysis,_,analysis,_,NN,0,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,medical,_,Medical,_,JJ,0,_,_,_,_,_,_,_,B-Purpose
2,image,_,image,_,NN,0,_,_,_,_,_,_,_,I-Purpose
3,analysis,_,analysis,_,NN,0,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,medical,_,Medical,_,JJ,0,_,_,_,_,_,_,_,B-Purpose
2,image,_,image,_,NN,0,_,_,_,_,_,_,_,I-Purpose
3,analysis,_,analysis,_,NN,0,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
1,medical,_,Medical,_,JJ,0,_,_,_,_,_,_,_,B-Purpose
2,image,_,image,_,NN,0,_,_,_,_,_,_,_,I-Purpose
3,analysis,_,analysis,_,NN,0,_,_,_,_,_,analysis.n,Scrutiny,S-Degree
4,.,_,.,_,.,0,_,_,_,_,_,_,_,S-Purpose
